"该条微博的发主昵称","发送时间","微博点赞数","微博转发数","微博评论数","微博内容"
"洛水北洋","09月19日 16:44 来自<a href=""https://weibo.cn/sinaurl?f=w&amp;u=vote.weibo.com"">投票</a>","1","0","0","我参与了@新浪电影 发起的投票 【2017国庆档，你想看什么？】，我投给了“《芳华》”这个选项。你也快来表态吧~2017国庆档，你想看什么？ ​​​"
"洛水北洋","09月17日 14:41 来自微博电影","0","0","0","#电影芳华# 我正在为《芳华》打榜！[good][good] 好电影需要用行动来支持，你也来为喜欢的电影加油吧！查看#微博电影榜#全部内容，快戳→_→ http://t.cn/Rt04lWM ​​​"
"洛水北洋","07月29日 19:37 来自iPhone 7","0","0","0","建军大业[星星][星星][星星][星星][星星]，#欢乐暑期档#之#电影建军大业#虽然战狼2票房领跑，不过没看过1，去看了《建军大业》，很震撼，很热血，不愧是《古惑仔》《无间道》的导演刘伟强的作品。节奏紧张，场面宏大，激动人心，令人动容。想想当年平均二十多岁的先辈们这么年轻就能做出如 ​​​ 全文"
"洛水北洋","02月15日 23:16 来自iPhone 7","1","0","0","#爱乐之城# 的确是多年未遇的好电影！很久没有看电影快看哭的感觉了。情节的确令人感动，尤其是最后的蒙太奇时真的是太虐心了。看电影全程沉浸在剧情中，真是一种享受，居然有了唯恐电影结束的感觉。看得出来是一部精雕细琢的电影，电影有上世纪经典电影的影子，有老电影的感觉。电影的音乐很动听，与 ​​​ 全文"
"洛水北洋","02月14日 17:30 来自iPhone 7","0","0","0","#爱乐之城# 怕今天被虐太狠，单身狗和基友只能在情人节之后一起去看电影了[眼泪]。明天，LALA LAND爱乐之城，走起！ 洛阳·洛龙区 ​​​"
"洛水北洋","2015-10-02 21:29:01 来自<a href=""https://weibo.cn/sinaurl?f=w&amp;u=http%3A%2F%2Fweibo.cn%2Fdpool%2Fttt%2Fscreenlist.php"">大屏幕</a>","0","0","0","#天大120年#百廿载浩浩汤汤，双甲子再创辉煌。建校于国危之际，扬誉于复兴之时！ ​​​"
"洛水北洋","2015-10-02 20:45:03 来自<a href=""https://weibo.cn/sinaurl?f=w&amp;u=http%3A%2F%2Fweibo.cn%2Fdpool%2Fttt%2Fscreenlist.php"">大屏幕</a>","0","0","0","#天大120年#百廿载浩浩汤汤，双甲子再创辉煌。建校于国危之际，扬誉于复兴之时！ ​​​"
"洛水北洋","2015-03-12 20:23:58 来自微博 weibo.com","0","0","0","天津大学美图 ​​​"
"洛水北洋","2015-03-12 00:09:51 来自微博 weibo.com","1","0","2","我发表了文章 洛水北洋宣讲小队宣讲历程精彩奉献 ​​​"
"觅觅且寻寻","今天 18:18 来自小米手机5","83703","62406","1020","#十九大#【#给青年的一封信# | 欣赏你一往无前的奋斗姿态】仔细想来，我们青年人身上的“焦虑”与“丧气”，不也是一种水涨船高的期待吗？放在一代人的角度看，我们奋斗的使命，已不是在一穷二白之上平地起高楼，而是向着更高远的目标冲刺。用力活着，才有分量；向前奔跑，才能抵达。  ​​​ 全文"
"觅觅且寻寻","10月19日 00:00 来自小米手机5","160","468","142","MAC chili 转[玫瑰]➕关[猪头]我 9.30 chou一位88[钱]若已➕ v[星星]：jiemaoguai2 则升级为同.款口.红（可折.现文.末还有[礼物]matte质地 但是不干去年就特别[火焰]了 特别显白试.色均为厚.涂 全脸有调色 以p456为准口.红from@睫毛怪日本代购 眼珠子from@小怪兽cherry2017 9.30 在添.加 v[星星]：cher ​​​ 全文"
"觅觅且寻寻","10月18日 23:59 来自小米手机5","91","663","245","【摩 飞 榨汁机】这个是原汁榨汁机，就是不能过滤渣渣的意思然后送两个随身杯。挺方便的，弄完换个盖子就可以带走了，然后特别好清洗呀！具体什么时候截止就看他们的库 存啦~清仓 卖完就木有啦然后link放quan转发本条微博通过@微博抽奖平台  抽一名小可爱送一个榨汁机哟 ​​​"
"觅觅且寻寻","10月18日 23:59 来自小米手机5","515","1212","468","有些宝宝总是说运气不好，丸子有办法来一串很美腻的水[星光]精手连～🦄天然水精可以带来好运哦～说桃花、学业、财运啥都可以旺～最最关键是超级少[心]女心上次没有啾到的宝宝看这里10.18 揪一个宝宝送图一10.19 揪一个仙女送图二10.20 揪一个小可爱送图三金[猪头]在这里哦！记得卷花+关主[星光] ​​​ 全文"
"觅觅且寻寻","10月18日 23:56 来自小米手机5","7283","53411","11133","[憧憬]丸子酱丸粉破40w[憧憬]11月6号由平台抽取一位送10000！！！全部送给一个人！！！是的，你没看错，就是一万大洋送一人！转+关@爱上护肤的丸子酱 [拳头]卷走，你就是那个Lucky[星光]star@微博抽奖平台 ​​​"
"觅觅且寻寻","10月18日 23:54 来自小米手机5","7397","53802","11616","[给力]就这么壕！！简单粗暴，自掏腰包8w1898件礼物！送902人！902人卷花+关祝@阿姨管饱 [礼物] 新款美图T8s一台700多件爆款零食、饮品送一人，管饱你每一天。[口红] 大牌口红:阿玛尼、YSL、迪奥、纪梵希、娇兰、雅诗兰黛、兰蔻、Nars、MAC、安娜苏。雨露均沾[心]约900人。从美妆、美食到家用电器！ ​​​ 全文"
"觅觅且寻寻","10月13日 22:57 来自小米手机5","8","8","1","某宝上有哪些价.格不高，格调高的小众腕.表？ ​​​"
"觅觅且寻寻","10月12日 22:42 来自小米手机5","16997","1701","1244","遇到小泡芙以后，陈小春的少女心发芽了哈哈哈哈哈哈，吹了一屋子粉红色气球给小泡芙布置房间[允悲][允悲]心疼Jasper 韩饭桶的秒拍视频 ​​​"
"觅觅且寻寻","10月10日 22:58 来自小米手机5","0","0","0","嫉妒使我面目全非～《「只有我觉得闺蜜很假吗？」「对，只有你。」》 「只有我觉得闺蜜很假吗？」「对，只有你。」 ​​​"
"觅觅且寻寻","10月10日 13:16 来自小米手机5","1357","2846","1011","#抽奖君的小福利# 75期，10份重瓣玫瑰花茶免费送给你们~~~转发微博，关注抽奖君我和@花丸小姐高端花茶 即可，明天抽~~ ​​​"
"觅觅且寻寻","10月10日 13:10 来自小米手机5","10401","10243","1486","你为什么要努力？这是我见过最现实的答案 ​​​"
